"JJ","CA","CB","CC","CD","CE"
2019-06-07,0.859185994273933,0.675696862085523,0.258871778224188,0.131513995672455,0.000348394152759167
2019-06-08,0.841910456788346,0.653738720756245,0.250444099715705,0.1267999609069,0.000348394152759167
2019-06-09,0.824982276216635,0.632494153808752,0.24229078778951,0.122254897691919,0.000348394152759167
2019-06-10,0.808394468299946,0.611939972194813,0.2344029103273,0.117872749350732,0.000348394152759167
2019-06-11,0.792140189210983,0.592053740441398,0.226771825999597,0.11364767630425,0.000348394152759167
2019-06-12,0.776212732730366,0.572813752161722,0.219389174799004,0.10957404828935,0.000348394152759167
2019-06-13,0.760605527479767,0.554199006362105,0.212246868881647,0.105646436856078,0.000348394152759167
2019-06-14,0.745312134210682,0.536189184518794,0.205337083706774,0.101859608133781,0.000348394152759167
2019-06-15,0.730326243147711,0.518764628399717,0.198652249464814,0.0982085158565429,0.000348394152759167
2019-06-16,0.715641671385263,0.50190631860696,0.192185042784499,0.0946882946386106,0.000348394152759167
2019-06-17,0.701252360336598,0.485595853816561,0.185928378709962,0.0912942534908596,0.000348394152759167
2019-06-18,0.687152373234168,0.469815430692936,0.179875402939023,0.0880218695696602,0.000348394152759167
2019-06-19,0.673335892680213,0.454547824456036,0.174019484314162,0.0848667821498094,0.000348394152759167
2019-06-20,0.659797218246608,0.439776370080008,0.168354207557954,0.0818247868135008,0.000348394152759167
2019-06-21,0.646530764122973,0.425484944102849,0.162873366245001,0.0788918298475853,0.000348394152759167
2019-06-22,0.633531056812066,0.411657947027188,0.157570956002666,0.07606400284166,0.000348394152759167
2019-06-23,0.620792732871521,0.398280286292989,0.152441167933166,0.0733375374797844,0.000348394152759167
2019-06-24,0.608310536700988,0.385337359803595,0.1474783822498,0.0707088005188842,0.000348394152759167
2019-06-25,0.596079318373767,0.372815039987128,0.142677162120366,0.0681742889471514,0.000348394152759167
2019-06-26,0.584094031512043,0.360699658375838,0.138032247710995,0.0657306253159876,0.000348394152759167
2019-06-27,0.572349731204842,0.348977990686583,0.133538550423899,0.0633745532392718,0.000348394152759167
2019-06-28,0.560841571967854,0.337637242386151,0.129191147322713,0.0611029330539536,0.000348394152759167
2019-06-29,0.549564805744268,0.326665034725663,0.124985275739311,0.0589127376361894,0.000348394152759167
2019-06-30,0.538514779945818,0.316049391228814,0.120916328056212,0.0568010483674468,0.000348394152759167
2019-07-01,0.527686935533202,0.305778724619212,0.116979846658841,0.0547650512452017,0.000348394152759167
2019-07-02,0.517076805135113,0.295841824172537,0.113171519052119,0.0528020331330442,0.000348394152759167
2019-07-03,0.506680011205078,0.286227843479713,0.109487173136042,0.0509093781451975,0.000348394152759167
2019-07-04,0.496492264215361,0.27692628860775,0.105922772635057,0.0490845641606317,0.000348394152759167
2019-07-05,0.486509360887189,0.267927006645313,0.102474412676242,0.0473251594621266,0.000348394152759167
2019-07-06,0.476727182456548,0.259220174620535,0.0991383155114403,0.0456288194958048,0.000348394152759167
2019-07-07,0.46714169297486,0.250796288778962,0.0959108263786566,0.0439932837468177,0.000348394152759167
2019-07-08,0.457748937643824,0.242646154209934,0.0927884094981953,0.042416372727021,0.000348394152759167
2019-07-09,0.448545041183738,0.234760874810082,0.0897676441991405,0.0408959850706237,0.000348394152759167
2019-07-10,0.439526206234628,0.227131843572977,0.0868452211719418,0.0394300947339431,0.000348394152759167
2019-07-11,0.430688711789528,0.219750733194336,0.0840179388429992,0.0380167482955318,0.000348394152759167
